MCC,AUC,Balanced Accuracy,F1,F2,Recall,Specificity,Precision,PRAUC,NPV,Estimator,Best Params,Fold
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,LogisticRegression,"{'clf__C': 0.04337892866429277, 'clf__l1_ratio': 0.16674683796980805}",1
0.9164923742549432,0.9919028340080971,0.952834008097166,0.9696969696969697,0.9785932721712538,0.9846153846153847,0.9210526315789473,0.9552238805970149,0.9952079435164463,0.9722222222222222,LogisticRegression,"{'clf__C': 0.28547072560927855, 'clf__l1_ratio': 0.29826163136513073}",2
0.9593291927174946,0.9983552631578948,0.984375,0.9841269841269841,0.9748427672955975,0.96875,1.0,1.0,0.9990457459207459,0.95,LogisticRegression,"{'clf__C': 0.3311721767807895, 'clf__l1_ratio': 0.23705948996927073}",3
0.9791345430742884,0.994654605263158,0.986842105263158,0.9922480620155039,0.9968847352024922,1.0,0.9736842105263158,0.9846153846153847,0.9965432567438604,1.0,LogisticRegression,"{'clf__C': 0.07493125783209233, 'clf__l1_ratio': 0.1877769186302062}",4
0.9176629354822471,0.9691611842105263,0.9473684210526316,0.9696969696969697,0.9876543209876543,1.0,0.8947368421052632,0.9411764705882353,0.9723046693673214,1.0,LogisticRegression,"{'clf__C': 0.14714978674351292, 'clf__l1_ratio': 0.47273713613639634}",5
0.9591501029395347,0.9859775641025641,0.9743589743589743,0.9846153846153847,0.9937888198757764,1.0,0.9487179487179487,0.9696969696969697,0.988057993934844,1.0,LogisticRegression,"{'clf__C': 0.07493125783209233, 'clf__l1_ratio': 0.007192127877889032}",6
0.8965084614012637,0.9838056680161943,0.9506072874493927,0.9612403100775194,0.9567901234567902,0.9538461538461539,0.9473684210526315,0.96875,0.9888526881836022,0.9230769230769231,LogisticRegression,"{'clf__C': 0.3311721767807895, 'clf__l1_ratio': 0.23705948996927073}",7
0.9161184210526315,0.9925986842105263,0.9580592105263157,0.96875,0.96875,0.96875,0.9473684210526315,0.96875,0.9955616648769342,0.9473684210526315,LogisticRegression,"{'clf__C': 0.2312614033209604, 'clf__l1_ratio': 0.8326320323149597}",8
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,LogisticRegression,"{'clf__C': 0.14714978674351292, 'clf__l1_ratio': 0.47273713613639634}",9
0.958467676597046,0.9967105263157895,0.9736842105263157,0.9846153846153847,0.9937888198757764,1.0,0.9473684210526315,0.9696969696969697,0.9980493010007301,1.0,LogisticRegression,"{'clf__C': 0.0839426178376957, 'clf__l1_ratio': 0.004421836005328195}",10
0.937991108087845,0.9971955128205128,0.9665464743589743,0.9767441860465116,0.9813084112149533,0.984375,0.9487179487179487,0.9692307692307692,0.9982657783168167,0.9736842105263158,LogisticRegression,"{'clf__C': 0.28547072560927855, 'clf__l1_ratio': 0.29826163136513073}",11
0.9595672101365442,1.0,0.9846153846153847,0.984375,0.9752321981424149,0.9692307692307692,1.0,1.0,0.9999999999999996,0.95,LogisticRegression,"{'clf__C': 0.9266623402260084, 'clf__l1_ratio': 0.018725391661166935}",12
0.9376273128643323,0.9962993421052632,0.971217105263158,0.9763779527559056,0.9717868338557993,0.96875,0.9736842105263158,0.9841269841269841,0.9976905286827007,0.9487179487179487,LogisticRegression,"{'clf__C': 0.6535779679595465, 'clf__l1_ratio': 0.5440053073813558}",13
0.873603351065016,0.9860197368421053,0.9317434210526316,0.9538461538461539,0.9627329192546584,0.96875,0.8947368421052632,0.9393939393939394,0.9910667210227743,0.9444444444444444,LogisticRegression,"{'clf__C': 0.28547072560927855, 'clf__l1_ratio': 0.29826163136513073}",14
0.895270948831327,0.9847861842105263,0.9395559210526316,0.9618320610687023,0.9752321981424149,0.984375,0.8947368421052632,0.9402985074626866,0.9883681652769656,0.9714285714285714,LogisticRegression,"{'clf__C': 0.14714978674351292, 'clf__l1_ratio': 0.47273713613639634}",15
0.8975381845270805,0.984375,0.9509214743589743,0.9606299212598425,0.9561128526645768,0.953125,0.9487179487179487,0.9682539682539683,0.9876652223865228,0.925,LogisticRegression,"{'clf__C': 0.14714978674351292, 'clf__l1_ratio': 0.47273713613639634}",16
0.9792504375581025,0.9959514170040487,0.986842105263158,0.9923664122137404,0.9969325153374233,1.0,0.9736842105263158,0.9848484848484849,0.9974929587775585,1.0,LogisticRegression,"{'clf__C': 0.045210900543003064, 'clf__l1_ratio': 0.03263398970600623}",17
0.9593291927174946,0.9983552631578947,0.984375,0.9841269841269841,0.9748427672955975,0.96875,1.0,1.0,0.9990808823529411,0.95,LogisticRegression,"{'clf__C': 0.14714978674351292, 'clf__l1_ratio': 0.47273713613639634}",18
0.916035513831031,0.9958881578947368,0.9527138157894737,0.9692307692307692,0.9782608695652174,0.984375,0.9210526315789473,0.9545454545454546,0.9975381771853862,0.9722222222222222,LogisticRegression,"{'clf__C': 0.28547072560927855, 'clf__l1_ratio': 0.29826163136513073}",19
0.958467676597046,0.9954769736842106,0.9736842105263157,0.9846153846153847,0.9937888198757764,1.0,0.9473684210526315,0.9696969696969697,0.997296983999983,1.0,LogisticRegression,"{'clf__C': 0.9274366308483578, 'clf__l1_ratio': 0.043671649328753115}",20
0.9174679487179487,0.9951923076923077,0.9587339743589743,0.96875,0.96875,0.96875,0.9487179487179487,0.96875,0.9970538961914026,0.9487179487179487,LogisticRegression,"{'clf__C': 0.46857674934319105, 'clf__l1_ratio': 0.08041800404112466}",21
0.9373116454298345,0.9959514170040487,0.965991902834008,0.9770992366412213,0.9815950920245399,0.9846153846153847,0.9473684210526315,0.9696969696969697,0.9976301109646448,0.972972972972973,LogisticRegression,"{'clf__C': 0.6535779679595465, 'clf__l1_ratio': 0.48715321205947837}",22
