MCC,AUC,Balanced Accuracy,F1,F2,Recall,Specificity,Precision,PRAUC,NPV,Estimator,Best Params,Fold
0.9794737547744264,0.9963942307692307,0.9871794871794872,0.9922480620155039,0.9968847352024922,1.0,0.9743589743589743,0.9846153846153847,0.9976905286827007,1.0,LogisticRegression,"{'clf__C': 3.7230921891133786, 'clf__l1_ratio': 0.9737427100419667}",1
0.8108612720123972,0.979757085020243,0.8979757085020244,0.9323308270676691,0.9451219512195121,0.9538461538461539,0.8421052631578947,0.9117647058823529,0.9883359249029953,0.9142857142857143,LogisticRegression,"{'clf__C': 9.227643039756044, 'clf__l1_ratio': 0.019164657893041004}",2
0.9580592105263158,0.995888157894737,0.979029605263158,0.984375,0.984375,0.984375,0.9736842105263158,0.984375,0.9974574284496005,0.9736842105263158,LogisticRegression,"{'clf__C': 3.5540144037667445, 'clf__l1_ratio': 0.832377538501727}",3
0.9376273128643323,0.9950657894736843,0.971217105263158,0.9763779527559056,0.9717868338557993,0.96875,0.9736842105263158,0.9841269841269841,0.9971409301407628,0.9487179487179487,LogisticRegression,"{'clf__C': 3.7230921891133786, 'clf__l1_ratio': 0.9737427100419667}",4
0.873603351065016,0.9671052631578948,0.9317434210526316,0.9538461538461539,0.9627329192546584,0.96875,0.8947368421052632,0.9393939393939394,0.9720606885722632,0.9444444444444444,LogisticRegression,"{'clf__C': 5.749349509396349, 'clf__l1_ratio': 0.6963995726579394}",5
0.875710524727734,0.9839743589743589,0.9330929487179487,0.9538461538461539,0.9627329192546584,0.96875,0.8974358974358975,0.9393939393939394,0.9890570188860015,0.9459459459459459,LogisticRegression,"{'clf__C': 5.749349509396349, 'clf__l1_ratio': 0.6963995726579394}",6
0.9165991902834008,0.9854251012145749,0.9582995951417004,0.9692307692307692,0.9692307692307692,0.9692307692307692,0.9473684210526315,0.9692307692307692,0.990426074468622,0.9473684210526315,LogisticRegression,"{'clf__C': 6.892706095550348, 'clf__l1_ratio': 0.7335186516806012}",7
0.8311711882990008,0.9909539473684211,0.9107730263157895,0.9384615384615385,0.9472049689440993,0.953125,0.868421052631579,0.9242424242424242,0.9947695986453964,0.9166666666666666,LogisticRegression,"{'clf__C': 3.7230921891133786, 'clf__l1_ratio': 0.9737427100419667}",8
0.9376273128643323,0.9946546052631579,0.971217105263158,0.9763779527559056,0.9717868338557993,0.96875,0.9736842105263158,0.9841269841269841,0.9969339396990806,0.9487179487179487,LogisticRegression,"{'clf__C': 3.7230921891133786, 'clf__l1_ratio': 0.9737427100419667}",9
0.958467676597046,0.9782072368421053,0.9736842105263157,0.9846153846153847,0.9937888198757764,1.0,0.9473684210526315,0.9696969696969697,0.9781774336305407,1.0,LogisticRegression,"{'clf__C': 9.227643039756044, 'clf__l1_ratio': 0.019164657893041004}",10
0.9174303138336344,0.96875,0.9537259615384616,0.9692307692307692,0.9782608695652174,0.984375,0.9230769230769231,0.9545454545454546,0.9666349589160697,0.972972972972973,LogisticRegression,"{'clf__C': 9.568059357230096, 'clf__l1_ratio': 0.6925815162344857}",11
0.9031845864150617,0.9963562753036437,0.9615384615384616,0.96,0.9375,0.9230769230769231,1.0,1.0,0.9978996797754935,0.8837209302325582,LogisticRegression,"{'clf__C': 3.7230921891133786, 'clf__l1_ratio': 0.9737427100419667}",12
0.8774535953713307,0.9938322368421053,0.9210526315789473,0.9552238805970149,0.9815950920245399,1.0,0.8421052631578947,0.9142857142857143,0.9963466938371788,1.0,LogisticRegression,"{'clf__C': 9.568059357230096, 'clf__l1_ratio': 0.6925815162344857}",13
0.8322368421052632,0.9810855263157895,0.9161184210526316,0.9375,0.9375,0.9375,0.8947368421052632,0.9375,0.9893061006425634,0.8947368421052632,LogisticRegression,"{'clf__C': 6.892706095550348, 'clf__l1_ratio': 0.7335186516806012}",14
0.8974920561468396,0.9814967105263158,0.9342105263157895,0.9624060150375939,0.9846153846153847,1.0,0.868421052631579,0.927536231884058,0.9872941536979499,1.0,LogisticRegression,"{'clf__C': 4.138276891426973, 'clf__l1_ratio': 0.4765242573592976}",15
0.8762019230769231,0.9827724358974359,0.9381009615384616,0.953125,0.953125,0.953125,0.9230769230769231,0.953125,0.9881566987384062,0.9230769230769231,LogisticRegression,"{'clf__C': 3.7230921891133786, 'clf__l1_ratio': 0.9737427100419667}",16
0.8965084614012637,0.9923076923076923,0.9506072874493927,0.9612403100775194,0.9567901234567902,0.9538461538461539,0.9473684210526315,0.96875,0.9952420734065637,0.9230769230769231,LogisticRegression,"{'clf__C': 3.7230921891133786, 'clf__l1_ratio': 0.9737427100419667}",17
0.9369589842087575,0.994654605263158,0.9658717105263157,0.9767441860465116,0.9813084112149533,0.984375,0.9473684210526315,0.9692307692307692,0.9970428222790875,0.972972972972973,LogisticRegression,"{'clf__C': 9.568059357230096, 'clf__l1_ratio': 0.6925815162344857}",18
0.8311711882990008,0.966282894736842,0.9107730263157895,0.9384615384615385,0.9472049689440993,0.953125,0.868421052631579,0.9242424242424242,0.9705861554258719,0.9166666666666666,LogisticRegression,"{'clf__C': 3.7230921891133786, 'clf__l1_ratio': 0.9737427100419667}",19
0.8947834253432264,0.9901315789473684,0.9449013157894737,0.9612403100775194,0.9657320872274143,0.96875,0.9210526315789473,0.9538461538461539,0.9943108270059465,0.9459459459459459,LogisticRegression,"{'clf__C': 1.7748619753652795, 'clf__l1_ratio': 0.6321416223289811}",20
0.9174303138336344,0.9891826923076924,0.9537259615384616,0.9692307692307692,0.9782608695652174,0.984375,0.9230769230769231,0.9545454545454546,0.992756691027513,0.972972972972973,LogisticRegression,"{'clf__C': 5.749349509396349, 'clf__l1_ratio': 0.6963995726579394}",21
0.9402406781420493,0.9975708502024291,0.976923076923077,0.9763779527559056,0.9627329192546584,0.9538461538461539,1.0,1.0,0.9986998916576377,0.926829268292683,LogisticRegression,"{'clf__C': 1.9017084214076208, 'clf__l1_ratio': 0.5777805476952224}",22
0.8746474853815167,0.9732730263157894,0.9263980263157895,0.9545454545454546,0.9722222222222222,0.984375,0.868421052631579,0.9264705882352942,0.9739815847691876,0.9705882352941176,LogisticRegression,"{'clf__C': 3.7230921891133786, 'clf__l1_ratio': 0.9737427100419667}",23
0.8541472693442934,0.9847861842105263,0.9132401315789473,0.9473684210526315,0.9692307692307692,0.984375,0.8421052631578947,0.9130434782608695,0.9911289479979029,0.9696969696969697,LogisticRegression,"{'clf__C': 7.853578970166262, 'clf__l1_ratio': 0.4949512945559636}",24
0.917796265019199,0.9872532894736842,0.963404605263158,0.9682539682539683,0.9591194968553459,0.953125,0.9736842105263158,0.9838709677419355,0.9915386664095928,0.925,LogisticRegression,"{'clf__C': 5.749349509396349, 'clf__l1_ratio': 0.6963995726579394}",25
0.8550559661416972,0.9755608974358975,0.9202724358974359,0.9465648854961832,0.9597523219814241,0.96875,0.8717948717948718,0.9253731343283582,0.9794879310298934,0.9444444444444444,LogisticRegression,"{'clf__C': 2.559957216928796, 'clf__l1_ratio': 0.5644933819811234}",26
0.9373116454298345,0.9947368421052633,0.965991902834008,0.9770992366412213,0.9815950920245399,0.9846153846153847,0.9473684210526315,0.9696969696969697,0.9967123712059263,0.972972972972973,LogisticRegression,"{'clf__C': 9.568059357230096, 'clf__l1_ratio': 0.6925815162344857}",27
0.8526078664776954,0.9901315789473684,0.9239309210526316,0.9457364341085271,0.9501557632398754,0.953125,0.8947368421052632,0.9384615384615385,0.9943471836432439,0.918918918918919,LogisticRegression,"{'clf__C': 9.568059357230096, 'clf__l1_ratio': 0.6925815162344857}",28
